candidate_id,experience,num_skills,career_length,education_count,avg_skill_duration,total_endorsements,github,profile_complete,response_rate,response_time,saved,searches,connections,notice,interview_rate,production_ai_skills,avg_job_duration,job_hopper,production_score,startup_score,research_score,skill_experience_ratio,quality_score
CAND_0000001,6.9,17,2,1,24.823529411764707,292,9.2,86.9,0.34,177.8,4,249,356,60,0.71,6,41.0,0,4,2,0,2.463768115942029,37.45000000000001
CAND_0000002,12.5,9,4,1,20.333333333333332,70,-1.0,78.7,0.29,171.6,10,107,179,60,0.62,2,37.25,0,1,2,2,0.72,32.64000000000001
CAND_0000003,1.1,6,1,2,17.666666666666668,47,-1.0,31.9,0.46,119.4,4,28,19,150,0.86,1,13.0,1,0,0,0,5.454545454545454,29.180000000000007
CAND_0000004,3.8,10,3,2,13.4,80,-1.0,28.5,0.26,104.1,8,5,485,120,0.35,1,14.666666666666666,1,1,2,2,2.6315789473684212,17.55
CAND_0000005,11.0,6,4,1,24.5,88,-1.0,84.6,0.37,116.7,1,67,300,30,0.74,0,32.5,0,0,2,0,0.5454545454545454,35.669999999999995
CAND_0000006,6.0,8,2,1,17.625,57,-1.0,29.7,0.12,172.1,9,131,389,150,0.57,0,35.5,0,0,1,0,1.3333333333333333,18.290000000000003
CAND_0000007,5.5,7,2,1,12.428571428571429,61,-1.0,74.6,0.62,61.3,8,104,122,30,0.47,1,32.5,0,1,2,0,1.2727272727272727,35.870000000000005
CAND_0000008,3.6,8,1,2,12.125,55,-1.0,63.0,0.42,98.4,0,91,285,90,0.74,2,43.0,0,0,1,0,2.2222222222222223,32.35
CAND_0000009,11.0,6,4,1,18.166666666666668,36,-1.0,39.6,0.53,202.0,1,74,516,150,0.54,0,32.75,0,1,2,0,0.5454545454545454,26.970000000000006
CAND_0000010,4.6,17,1,2,22.294117647058822,303,33.7,81.6,0.4,19.0,2,256,712,120,0.53,5,55.0,0,0,2,0,3.695652173913044,36.54
CAND_0000011,2.0,10,2,2,24.0,68,32.3,59.2,0.56,184.4,13,200,496,90,0.45,2,11.5,1,1,1,0,5.0,35.32
CAND_0000012,1.1,10,1,2,17.4,59,-1.0,53.4,0.16,38.4,3,61,165,60,0.42,3,13.0,1,0,1,0,9.09090909090909,20.98
CAND_0000013,1.1,10,1,2,15.8,68,35.6,44.2,0.28,80.3,12,40,281,30,0.33,2,13.0,1,0,2,0,9.09090909090909,25.05
CAND_0000014,8.4,13,3,1,30.53846153846154,155,-1.0,61.9,0.8,7.7,0,12,708,90,0.55,1,33.333333333333336,0,1,2,0,1.5476190476190474,36.93000000000001
CAND_0000015,5.4,10,3,1,22.9,86,-1.0,79.4,0.32,117.7,8,164,361,90,0.72,3,21.333333333333332,0,5,2,0,1.8518518518518516,35.18
CAND_0000016,5.3,8,3,1,19.625,48,42.9,69.4,0.64,205.6,5,126,148,60,0.66,0,21.0,0,1,2,0,1.509433962264151,41.82000000000001
CAND_0000017,12.3,8,4,1,16.625,74,-1.0,38.7,0.27,197.4,2,110,35,90,0.32,0,36.5,0,1,2,0,0.6504065040650406,18.440000000000005
CAND_0000018,6.6,6,3,1,19.833333333333332,85,-1.0,34.8,0.16,154.6,16,41,284,120,0.7,0,26.0,0,1,1,0,0.9090909090909092,23.21
CAND_0000019,6.5,8,3,2,18.75,75,-1.0,38.6,0.34,100.0,0,141,593,60,0.31,2,25.666666666666668,0,1,1,0,1.2307692307692308,19.520000000000003
CAND_0000020,6.3,7,3,1,22.428571428571427,95,-1.0,73.0,0.55,207.8,11,31,479,30,0.71,2,25.0,0,1,1,2,1.1111111111111112,38.15
CAND_0000021,14.5,16,6,1,10.0,80,6.4,58.5,0.49,98.7,3,8,52,60,0.53,5,28.666666666666668,0,1,2,0,1.103448275862069,31.240000000000002
CAND_0000022,1.1,8,1,1,18.75,40,-1.0,63.1,0.27,30.2,5,136,538,150,0.45,1,13.0,1,1,0,2,7.2727272727272725,25.620000000000005
CAND_0000023,3.7,10,2,1,13.7,60,48.5,50.7,0.57,64.8,14,239,763,30,0.9,0,22.0,0,1,1,0,2.7027027027027026,42.14
CAND_0000024,7.5,6,2,1,15.666666666666666,84,46.3,63.7,0.78,238.2,7,84,445,60,0.72,2,44.5,0,1,1,2,0.8,45.07
CAND_0000025,7.3,9,3,1,21.22222222222222,46,-1.0,70.7,0.74,128.0,9,74,276,120,0.7,3,29.0,0,1,2,0,1.2328767123287672,41.29
CAND_0000026,6.8,8,3,2,16.625,75,-1.0,80.3,0.59,45.4,11,154,321,30,0.49,3,26.666666666666668,0,1,2,2,1.1764705882352942,37.26
CAND_0000027,3.9,16,2,2,21.75,179,38.6,31.0,0.58,112.3,6,136,282,90,0.61,4,23.0,0,2,1,0,4.102564102564103,32.36
CAND_0000028,1.1,10,1,1,17.4,81,-1.0,51.2,0.14,13.2,4,68,524,60,0.86,0,13.0,1,1,1,0,9.09090909090909,26.69000000000001
CAND_0000029,7.2,8,3,1,12.875,55,42.5,40.5,0.12,48.4,8,150,297,60,0.67,0,28.333333333333332,0,1,2,0,1.1111111111111112,26.200000000000003
CAND_0000030,10.0,9,3,2,16.555555555555557,60,21.7,59.7,0.66,131.1,1,54,552,60,0.73,0,39.333333333333336,0,1,2,2,0.9,38.510000000000005
CAND_0000031,6.0,17,4,1,39.8235294117647,431,32.6,83.4,0.91,76.1,13,778,832,60,0.6,6,17.5,1,2,2,0,2.8333333333333335,49.990000000000016
CAND_0000032,8.1,10,3,2,21.2,167,-1.0,35.4,0.69,58.6,4,56,404,150,0.78,2,31.666666666666668,0,2,1,0,1.234567901234568,33.63
CAND_0000033,8.6,10,3,1,18.2,77,38.3,74.0,0.08,210.9,2,98,410,30,0.37,2,34.0,0,0,1,0,1.1627906976744187,26.330000000000005
CAND_0000034,14.5,10,7,1,12.7,80,-1.0,41.2,0.15,253.5,2,143,226,90,0.41,1,24.285714285714285,0,1,2,2,0.6896551724137931,17.890000000000004
CAND_0000035,4.3,14,2,2,21.928571428571427,147,-1.0,56.2,0.34,178.0,1,173,398,60,0.5,2,25.5,0,0,2,0,3.255813953488372,25.990000000000002
CAND_0000036,11.3,9,5,1,14.88888888888889,90,-1.0,81.8,0.4,236.6,0,175,324,60,0.78,0,26.8,0,1,2,0,0.7964601769911503,36.260000000000005
CAND_0000037,14.3,8,5,2,24.0,60,-1.0,25.6,0.78,107.1,1,178,503,30,0.82,2,34.0,0,1,2,0,0.5594405594405594,33.57000000000001
