candidate_id,rank,ranking_score,reasoning
CAND_0001085,1,0.7453208574062435,Good technical background with relevant engineering experience. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Demonstrates ownership and product focused engineering. Minor inconsistencies were detected during profile evaluation. Recommended for interview.
CAND_0001182,2,0.726611900659585,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Recommended for interview.
CAND_0001069,3,0.7073644591096028,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Recommended for interview.
CAND_0001109,4,0.7036910425370564,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Recommended for interview.
CAND_0000859,5,0.6941589521966571,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Healthy recruiter interaction and profile quality. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0001482,6,0.6819057599173572,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000874,7,0.6794340984677599,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Demonstrates ownership and product focused engineering. No major inconsistencies detected. Potential candidate for further review.
CAND_0001598,8,0.6775513948229457,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0001153,9,0.6763689568026442,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000510,10,0.6727790917102483,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0001360,11,0.6695776477855164,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0001659,12,0.6694788662527208,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000426,13,0.6691918184802721,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0001675,14,0.6659262822785562,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000919,15,0.6610456316961123,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0001052,16,0.6583639201311743,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000707,17,0.6582791689978216,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0001449,18,0.6544746586664602,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000235,19,0.6511210603112378,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000262,20,0.6509912669556037,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Demonstrates ownership and product focused engineering. No major inconsistencies detected. Potential candidate for further review.
CAND_0000937,21,0.6507669059234112,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000142,22,0.6503159467166524,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0001082,23,0.6472584694939549,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Demonstrates ownership and product focused engineering. No major inconsistencies detected. Potential candidate for further review.
CAND_0000061,24,0.647152504002921,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000644,25,0.6457174125422429,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
CAND_0000173,26,0.6437710390858893,Moderate technical experience with potential for growth. Limited professional experience compared to top ranked candidates. Behavioral indicators are comparatively weaker. Standard engineering profile. No major inconsistencies detected. Potential candidate for further review.
